game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
FLO199504250,5,"8, 1B, HR, 53, 5",KCA198306220,"8, 1B, HR, 53, K"
ATL199504260,4,"13, 9, 3, 2B",ATL198406230,"13, 9, 3, K"
BOS199504260,5,"BB, 13, 8, K, 63",BSN194908260,"BB, 13, 8, K, 1B"
CAL199504260,5,"8, 63, 1B, K, 3",TOR198806100,"8, 63, 1B, K, 6"
CIN199504260,5,"K, 63, BB, SB2, 53",CAL199207170,"K, 63, BB, SB2, K"
COL199504260,4,"1B, 6(1)3, 63, 1B",CHA199307020,"1B, 6(1)3, 63, 7"
FLO199504260,4,"3, 43, 9, 31",CLE199207010,"3, 43, 9, 63"
KCA199504260,5,"K, 5, 3, 1B, 63",KCA197606080,"K, 5, 3, 1B, 64(1)"
MIL199504260,5,"1B, 1B, BB, SF9, BB",NYA199008250,"1B, 1B, BB, SF9, K"
NYA199504260,5,"1B, K, 7, CS2, 7",DET197105270,"1B, K, 7, CS2, 53"
PIT199504260,4,"4, 1B, 54(1)3, 3",PIT197409080,"4, 1B, 54(1)3, BB"
SDN199504260,4,"8, 31, BB, 2B",CIN198607220,"8, 31, BB, K"
SLN199504260,5,"7, 53, BB, SB2, 8",CLE197706292,"7, 53, BB, SB2, BB"
TOR199504260,3,"2B, SB3, SF8",DET199205010,"2B, SB3, BB"
ATL199504270,5,"43, 2B, 63, BB, 2B",SEA199108100,"43, 2B, 63, BB, WP"
CHA199504270,5,"63, K, 9, 53, K",CHN196609140,"63, K, 9, 53, 1B"
CIN199504270,5,"K, 8, 3, K, 43",SDN198708310,"K, 8, 3, K, K"
COL199504270,5,"1B, 1B, 5, 1B, K",HOU197606250,"1B, 1B, 5, 1B, SB2"
MIN199504270,6,"K, 63, 9, 1B, SB2, 3",PIT198307262,"K, 63, 9, 1B, SB2, 6"
PIT199504270,4,"8, 1B, 43, 8",NYA198408210,"8, 1B, 43, K"
SDN199504270,5,"K, 9, BB, SB2, 1B",NYN198307270,"K, 9, BB, SB2, 53"
SEA199504270,4,"2B, 53, K, 9",BOS199309140,"2B, 53, K, HR"
SLN199504270,6,"K, 53, 2B, 1B, 53, 3",CHN197504220,"K, 53, 2B, 1B, 53, 63"
TEX199504270,4,"4, 53, 5, 8",CAL197907030,"4, 53, 5, K"
TOR199504270,6,"43, 1B, CS2, BB, K, 63",BRO194706032,"43, 1B, CS2, BB, K, 8"
BOS199504280,6,"K, K, 63, K, BB, BB",CLE198705100,"K, K, 63, K, BB, CS2"
CHN199504280,4,"HR, 5, K, 4",LAN197506150,"HR, 5, K, 1B"
HOU199504280,2,"153, 13",MON199010030,"153, K"
KCA199504280,5,"13, 13, K, 7, 8",KCA198906100,"13, 13, K, 7, 7"
LAN199504280,4,"HBP, K, 3, 2B",SLN192509131,"HBP, K, 3, BB"
MIL199504280,4,"9, 1B, 64(1), SB2",NYN199309140,"9, 1B, 64(1), 9"
MIN199504280,3,"43, BB, 5(B)3(1)",CAL199408050,"43, BB, K"
NYN199504280,5,"1B, 13, 2B, K, K",WS1192306060,"1B, 13, 2B, K, 53"
