game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
CHN202503180,5,"43, 3, K, BB, 6",PHI201806190,"43, 3, K, BB, 1B"
CHN202503190,4,"7, K, 23, 7",BRO194109060,"7, K, 23, 6"
ARI202503270,5,"K, 7, E5, BB, 8",SEA200206090,"K, 7, E5, BB, 9"
CHA202503270,5,"2B, 63, HBP, K, K",NYA198307020,"2B, 63, HBP, K, BB"
CIN202503270,6,"6, K, K, K, K, BB",CHA197209230,"6, K, K, K, K, 9"
HOU202503270,5,"6, 1B, BB, 63, 7",TBA201309120,"6, 1B, BB, 63, K"
KCA202503270,5,"1B, 53, 1B, 4, BB",BOS200306270,"1B, 53, 1B, 4, 2B"
LAN202503270,5,"5, 43, K, 3, 7",PHI202207240,"5, 43, K, 3, 8"
MIA202503270,6,"K, 3, 9, K, K, 43",WS1195609010,"K, 3, 9, K, K, K"
NYA202503270,5,"K, 43, 3, HR, 8",LAN197807250,"K, 43, 3, HR, 43"
SDN202503270,5,"1B, WP, 7, BB, BB",MIA202208030,"1B, WP, 7, BB, 1B"
SEA202503270,4,"43, K, 43, 23",SDN202409060,"43, K, 43, 1B"
SLN202503270,5,"9, K, 5, 1B, BK",WAS201309140,"9, K, 5, 1B, SB2"
TEX202503270,5,"31, K, 53, K, 7",CHN194007010,"31, K, 53, K, K"
TOR202503270,4,"K, HR, 1B, 6",MIA202409220,"K, HR, 1B, BB"
WAS202503270,7,"K, K, 43, K, 43, K, 1B",SDN202403280,"K, K, 43, K, 43, K, K"
ARI202503280,5,"BB, 8, K, 3, 63",SEA202207260,"BB, 8, K, 3, HR"
HOU202503280,6,"K, K, 8, K, 8, 53",MLN196309240,"K, K, 8, K, 8, K"
LAN202503280,7,"9, 1B, 1B, K, K, BB, 4(1)3",BOS200404110,"9, 1B, 1B, K, K, BB, 6"
MIA202503280,5,"2, 3, 43, 1B, 46(1)3",CLE196907180,"2, 3, 43, 1B, 7"
SDN202503280,5,"9, 2B, K, K, HR",PHI202109150,"9, 2B, K, K, K"
SEA202503280,5,"7, 9, BB, BB, 31",CLE198905260,"7, 9, BB, BB, 1B"
TBA202503280,6,"53, 1B, 1B, K, K, 53",MIN201706200,"53, 1B, 1B, K, K, 13"
TEX202503280,5,"1, K, K, 53, 1B",SDN201905180,"1, K, K, 53, BB"
TOR202503280,6,"43, 3, 9, 7, 1B, 1B",CHN199305290,"43, 3, 9, 7, 1B, SB2"
ARI202503290,4,"31, 2B, E1, K",HOU197405180,"31, 2B, E1, 2B"
CHA202503290,4,"1B, K, 14(1), BB",CHA196708240,"1B, K, 14(1), 9"
CIN202503290,5,"8, 3, 43, K, 8",SLN202408290,"8, 3, 43, K, 1B"
HOU202503290,6,"7, 2B, 9, BB, K, 1B",PIT200406290,"7, 2B, 9, BB, K, 6"
KCA202503290,5,"6, 6, BB, K, 1B",CHN195606300,"6, 6, BB, K, BB"
LAN202503290,5,"1B, K, 1B, 6, BB",TBA202010120,"1B, K, 1B, 6, K"
MIA202503290,5,"5, 1B, BB, K, 2B",LAN200906050,"5, 1B, BB, K, 4"
NYA202503290,4,"13, BB, K, 6",KCA202307020,"13, BB, K, K"
SDN202503290,4,"BB, BB, 6(1)3, K",ATL202309200,"BB, BB, 6(1)3, 1B"
SEA202503290,4,"43, 3, 13, 2B",ATL201808170,"43, 3, 13, 1B"
SLN202503290,5,"K, 8, 63, 1B, 43",ARI202307050,"K, 8, 63, 1B, 5"
TBA202503290,6,"3, 53, K, 9, 3, 1B",CAL197007060,"3, 53, K, 9, 3, K"
TEX202503290,6,"BB, K, 1B, K, 64(1), 6",OAK197504202,"BB, K, 1B, K, 64(1), BB"
TOR202503290,5,"HR, 8, 1B, HR, 3",HOU201207260,"HR, 8, 1B, HR, 8"
WAS202503290,5,"1B, BB, 7, 9, 1B",ARI201808070,"1B, BB, 7, 9, BB"
ARI202503300,6,"K, 1B, K, 64(1), K, 1B",SFN199709050,"K, 1B, K, 64(1), K, K"
CHA202503300,5,"E6, 1B, 1B, SF8, 46(1)",WS2197109040,"E6, 1B, 1B, SF8, 8"
CIN202503300,6,"8, K, K, K, 4, 53",SDN200808020,"8, K, K, K, 4, 1B"
KCA202503300,5,"1B, 46(1)3, 5, BB, K",CHA201105030,"1B, 46(1)3, 5, BB, 5"
MIA202503300,4,"8, K, 63, 4",NYA202406040,"8, K, 63, 9"
NYA202503300,7,"1B, 8, 9, SB2, BB, 1B, K",BOS191410011,"1B, 8, 9, SB2, BB, 1B, BB"
SDN202503300,5,"53, K, 7, 2B, 31",FLO200409070,"53, K, 7, 2B, 1B"
SEA202503300,3,"7, 4, E6",WAS202408210,"7, 4, 2B"
SLN202503300,4,"BB, 53, 1B, 43",ATL202109090,"BB, 53, 1B, 2B"
TBA202503300,6,"9, 1B, K, K, 2B, 7",SEA201906190,"9, 1B, K, K, 2B, BB"
TEX202503300,4,"7, 31, 63, 7",BAL201807100,"7, 31, 63, 9"
TOR202503300,5,"K, 53, 1B, 1B, WP",LAN201906160,"K, 53, 1B, 1B, 63"
WAS202503300,6,"1B, 8, K, 1B, K, 5",OAK202009290,"1B, 8, K, 1B, K, 9"
ATH202503310,5,"BB, 2B, SF7, HR, HR",CIN201106050,"BB, 2B, SF7, HR, 8"
BAL202503310,5,"7, BB, 1B, K, K",ARI202209170,"7, BB, 1B, K, BB"
CHA202503310,5,"63, 6, 7, 1B, WP",PIT195007090,"63, 6, 7, 1B, 1B"
CIN202503310,7,"K, K, 8, 1B, HR, 1B, SB2",BAL202009060,"K, K, 8, 1B, HR, 1B, BB"
HOU202503310,5,"8, K, 13, 63, BB",TOR202407010,"8, K, 13, 63, 8"
LAN202503310,7,"K, K, 43, BB, 7, HR, BB",LAN201706090,"K, K, 43, BB, 7, HR, K"
MIA202503310,5,"K, 1B, 4, 43, K",HOU201209130,"K, 1B, 4, 43, 2"
MIL202503310,5,"1B, 1B, 9, K, 2B",MIN202308180,"1B, 1B, 9, K, K"
PHI202503310,4,"BB, 9, 13, 3",WAS202406030,"BB, 9, 13, 8"
SDN202503310,3,"K, HR, E2",TOR202503270,"K, HR, 1B"
SEA202503310,4,"2B, 1B, CS2, HR",NYN200908030,"2B, 1B, CS2, 53"
SLN202503310,5,"K, 1B, 5, 8, HR",LAN201808040,"K, 1B, 5, 8, K"
TBA202503310,8,"K, K, 1B, SB2, 7, 3, K, K",MIL200309190,"K, K, 1B, SB2, 7, 3, K, 1B"
TOR202503310,3,"9, BB, 23",SLN202409100,"9, BB, SB2"
ATH202504010,4,"E4, BB, HR, 31",SDN199709170,"E4, BB, HR, 63"
CHA202504010,6,"BB, K, 9, 1B, K, BB",ANA201506120,"BB, K, 9, 1B, K, 43"
CIN202504010,5,"63, 7, HR, 2B, 63",BRO194508121,"63, 7, HR, 2B, 8"
HOU202504010,5,"K, 9, 4, 7, 63",OAK199108030,"K, 9, 4, 7, HR"
LAN202504010,6,"K, K, K, 43, K, 7",SEA202404160,"K, K, K, 43, K, K"
MIA202504010,3,"3, 31, 53",BAL202404290,"3, 31, 1B"
MIL202504010,5,"K, 8, BB, 7, 1B",SLN202406300,"K, 8, BB, 7, 9"
